SITE,DATE,Date,WEIR-REP,Watershed,Sample,,Sample Location 
Hubbard Brook ,7/22/2019,7/22/2019,HBK-05,hbk,ST190680,,
Hubbard Brook ,7/29/2019,7/29/2019,HBK-05,hbk,ST190720,,
Hubbard Brook ,8/5/2019,8/5/2019,HBK-05,hbk,ST190760,,
Hubbard Brook ,8/12/2019,8/12/2019,HBK-05,hbk,ST190800,,
Hubbard Brook ,8/19/2019,8/19/2019,HBK-05,hbk,ST190840,,
Hubbard Brook ,8/26/2019,8/26/2019,HBK-05,hbk,ST190880,,
Hubbard Brook ,9/3/2019,9/3/2019,HBK-05,hbk,ST190920,,
Hubbard Brook ,9/9/2019,9/9/2019,HBK-05,hbk,ST190960,,
Hubbard Brook ,9/16/2019,9/16/2019,HBK-05,hbk,ST191000,,
Hubbard Brook ,9/23/2019,9/23/2019,HBK-05,hbk,ST191040,,
Hubbard Brook ,9/30/2019,9/30/2019,HBK-05,hbk,ST191080,,
Hubbard Brook ,10/7/2019,10/7/2019,HBK-05,hbk,ST191120,,
Hubbard Brook ,10/15/2019,10/15/2019,HBK-05,hbk,ST191160,,
Hubbard Brook ,10/21/2019,10/21/2019,HBK-05,hbk,ST191200,,
Hubbard Brook ,10/28/2019,10/28/2019,HBK-05,hbk,ST191240,,
Hubbard Brook ,11/4/2019,11/4/2019,HBK-05,hbk,ST191280,,
Hubbard Brook ,11/11/2019,11/11/2019,HBK-05,hbk,ST191320,,
Hubbard Brook ,11/18/2019,11/18/2019,HBK-05,hbk,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,HBK-05,hbk,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,HBK-05,hbk,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,W1-01,1,,NS,Cary 
Hubbard Brook ,4/1/2019,4/1/2019,W1-01,1,ST190041,,
Hubbard Brook ,4/8/2019,4/8/2019,W1-01,1,,,label # will  be assigned at end of collection season
Hubbard Brook ,4/15/2019,4/15/2019,W1-01,1,ST190081,,
Hubbard Brook ,4/22/2019,4/22/2019,W1-01,1,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,W1-01,1,ST190161,,
Hubbard Brook ,5/6/2019,5/6/2019,W1-01,1,ST190201,,
Hubbard Brook ,5/13/2019,5/13/2019,W1-01,1,ST190241,,
Hubbard Brook ,5/20/2019,5/20/2019,W1-01,1,ST190281,,
Hubbard Brook ,5/28/2019,5/28/2019,W1-01,1,ST190321,,
Hubbard Brook ,6/2/2019,6/2/2019,W1-01,1,ST190361,,
Hubbard Brook ,6/10/2019,6/10/2019,W1-01,1,ST190401,,
Hubbard Brook ,6/17/2019,6/17/2019,W1-01,1,ST190441,,
Hubbard Brook ,6/24/2019,6/24/2019,W1-01,1,ST190481,,
Hubbard Brook ,7/1/2019,7/1/2019,W1-01,1,ST190521,,
Hubbard Brook ,7/8/2019,7/8/2019,W1-01,1,ST190561,,
Hubbard Brook ,7/15/2019,7/15/2019,W1-01,1,ST190601,,
Hubbard Brook ,7/22/2019,7/22/2019,W1-01,1,ST190641,,
Hubbard Brook ,7/29/2019,7/29/2019,W1-01,1,ST190681,,
Hubbard Brook ,8/5/2019,8/5/2019,W1-01,1,ST190721,,
Hubbard Brook ,8/12/2019,8/12/2019,W1-01,1,ST190761,,
Hubbard Brook ,8/19/2019,8/19/2019,W1-01,1,ST190801,,
Hubbard Brook ,8/26/2019,8/26/2019,W1-01,1,ST190841,,
Hubbard Brook ,9/3/2019,9/3/2019,W1-01,1,ST190881,,
Hubbard Brook ,9/9/2019,9/9/2019,W1-01,1,ST190921,,
Hubbard Brook ,9/16/2019,9/16/2019,W1-01,1,ST191961,,
Hubbard Brook ,9/23/2019,9/23/2019,W1-01,1,ST191001,,
Hubbard Brook ,9/30/2019,9/30/2019,W1-01,1,ST191041,,
Hubbard Brook ,10/7/2019,10/7/2019,W1-01,1,ST191081,,
Hubbard Brook ,10/15/2019,10/15/2019,W1-01,1,ST191121,,
Hubbard Brook ,10/21/2019,10/21/2019,W1-01,1,ST191161,,
Hubbard Brook ,10/28/2019,10/28/2019,W1-01,1,ST191201,,
Hubbard Brook ,11/4/2019,11/4/2019,W1-01,1,ST191241,,
Hubbard Brook ,11/11/2019,11/11/2019,W1-01,1,ST191281,,
Hubbard Brook ,11/18/2019,11/18/2019,W1-01,1,ST191321,,
Hubbard Brook ,11/25/2019,11/25/2019,W1-01,1,ST191361,,
Hubbard Brook ,12/3/2019,12/3/2019,W1-01,1,ST191401,,
Hubbard Brook ,3/25/2019,3/25/2019,W1-02,1,,NS,Cary 
Hubbard Brook ,4/1/2019,4/1/2019,W1-02,1,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,W1-02,1,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,W1-02,1,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,W1-02,1,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,W1-02,1,ST190162,,
Hubbard Brook ,5/6/2019,5/6/2019,W1-02,1,ST190202,,
Hubbard Brook ,5/13/2019,5/13/2019,W1-02,1,ST190242,,
Hubbard Brook ,5/20/2019,5/20/2019,W1-02,1,ST190282,,
Hubbard Brook ,5/28/2019,5/28/2019,W1-02,1,ST190322,,
Hubbard Brook ,6/2/2019,6/2/2019,W1-02,1,ST190362,,
Hubbard Brook ,6/10/2019,6/10/2019,W1-02,1,ST190402,,
Hubbard Brook ,6/17/2019,6/17/2019,W1-02,1,ST190442,,
Hubbard Brook ,6/24/2019,6/24/2019,W1-02,1,ST190482,,
Hubbard Brook ,7/1/2019,7/1/2019,W1-02,1,ST190522,,
Hubbard Brook ,7/8/2019,7/8/2019,W1-02,1,ST190562,,
Hubbard Brook ,7/15/2019,7/15/2019,W1-02,1,ST190602,,
Hubbard Brook ,7/22/2019,7/22/2019,W1-02,1,ST190642,,
Hubbard Brook ,7/29/2019,7/29/2019,W1-02,1,ST190682,,
Hubbard Brook ,8/5/2019,8/5/2019,W1-02,1,ST190722,,
Hubbard Brook ,8/12/2019,8/12/2019,W1-02,1,ST190762,,
Hubbard Brook ,8/19/2019,8/19/2019,W1-02,1,ST190802,,
Hubbard Brook ,8/26/2019,8/26/2019,W1-02,1,ST190842,,
Hubbard Brook ,9/3/2019,9/3/2019,W1-02,1,ST190882,,
