"","date","Watershed","month","year","Sample","count_sum"
"281",2020-05-28,"6",5,2020,"ST190349",395
"282",2020-05-28,"6",5,2020,"ST190350",289
"283",2020-05-28,"9",5,2020,"ST190351",55
"284",2020-05-28,"9",5,2020,"ST190352",115
"285",2020-05-28,"9",5,2020,"ST190353",65
"286",2020-05-28,"9",5,2020,"ST190354",136
"287",2020-05-28,"9",5,2020,"ST190355",163
"288",2020-05-28,"HBK",5,2020,"ST190356",143
"289",2020-05-28,"HBK",5,2020,"ST190357",55
"290",2020-05-28,"HBK",5,2020,"ST190358",70
"291",2020-05-28,"HBK",5,2020,"ST190359",49
"292",2020-05-28,"HBK",5,2020,"ST190360",42
"293",2020-05-29,"1",5,2020,"1",24
"294",2020-05-29,"1",5,2020,"10",10
"295",2020-05-29,"1",5,2020,"2",10
"296",2020-05-29,"1",5,2020,"3",22
"297",2020-05-29,"1",5,2020,"4",62
"298",2020-05-29,"1",5,2020,"5",160
"299",2020-05-29,"1",5,2020,"6",112
"300",2020-05-29,"1",5,2020,"7",20
"301",2020-05-29,"1",5,2020,"8",18
"302",2020-05-29,"1",5,2020,"9",106
"303",2020-05-29,"2",5,2020,"1",234
"304",2020-05-29,"2",5,2020,"10",22
"305",2020-05-29,"2",5,2020,"2",302
"306",2020-05-29,"2",5,2020,"3",226
"307",2020-05-29,"2",5,2020,"4",180
"308",2020-05-29,"2",5,2020,"5",98
"309",2020-05-29,"2",5,2020,"6",104
"310",2020-05-29,"2",5,2020,"7",186
"311",2020-05-29,"2",5,2020,"8",250
"312",2020-05-29,"2",5,2020,"9",216
"313",2020-05-29,"3",5,2020,"1",120
"314",2020-05-29,"3",5,2020,"10",141
"315",2020-05-29,"3",5,2020,"2",119
"316",2020-05-29,"3",5,2020,"3",95
"317",2020-05-29,"3",5,2020,"4",225
"318",2020-05-29,"3",5,2020,"5",65
"319",2020-05-29,"3",5,2020,"6",100
"320",2020-05-29,"3",5,2020,"7",198
"321",2020-05-29,"3",5,2020,"8",111
"322",2020-05-29,"3",5,2020,"9",62
"323",2020-05-29,"4",5,2020,"1",120
"324",2020-05-29,"4",5,2020,"10",141
"325",2020-05-29,"4",5,2020,"2",119
"326",2020-05-29,"4",5,2020,"3",95
"327",2020-05-29,"4",5,2020,"4",225
"328",2020-05-29,"4",5,2020,"5",65
"329",2020-05-29,"4",5,2020,"6",100
"330",2020-05-29,"4",5,2020,"7",198
"331",2020-05-29,"4",5,2020,"8",111
"332",2020-05-29,"4",5,2020,"9",62
"333",2020-05-29,"6",5,2020,"1",130
"334",2020-05-29,"6",5,2020,"10",56
"335",2020-05-29,"6",5,2020,"2",156
"336",2020-05-29,"6",5,2020,"3",70
"337",2020-05-29,"6",5,2020,"4",78
"338",2020-05-29,"6",5,2020,"5",142
"339",2020-05-29,"6",5,2020,"6",70
"340",2020-05-29,"6",5,2020,"7",172
"341",2020-05-29,"6",5,2020,"8",44
"342",2020-05-29,"6",5,2020,"9",124
"343",2020-05-29,"9",5,2020,"1",116
"344",2020-05-29,"9",5,2020,"10",41
"345",2020-05-29,"9",5,2020,"2",91
"346",2020-05-29,"9",5,2020,"3",99
"347",2020-05-29,"9",5,2020,"4",55
"348",2020-05-29,"9",5,2020,"5",161
"349",2020-05-29,"9",5,2020,"6",78
"350",2020-05-29,"9",5,2020,"7",112
"351",2020-05-29,"9",5,2020,"8",40
"352",2020-05-29,"9",5,2020,"9",137
"353",2020-06-02,"1",6,2020,"ST190361",79
"354",2020-06-02,"1",6,2020,"ST190362",88
"355",2020-06-02,"1",6,2020,"ST190363",55
"356",2020-06-02,"1",6,2020,"ST190364",91
"357",2020-06-02,"1",6,2020,"ST190365",70
"358",2020-06-02,"2",6,2020,"ST190366",165
"359",2020-06-02,"2",6,2020,"ST190367",164
"360",2020-06-02,"2",6,2020,"ST190368",123
"361",2020-06-02,"2",6,2020,"ST190369",154
"362",2020-06-02,"2",6,2020,"ST190370",166
"363",2020-06-02,"3",6,2020,"ST190371",156
"364",2020-06-02,"3",6,2020,"ST190372",171
"365",2020-06-02,"3",6,2020,"ST190373",174
"366",2020-06-02,"3",6,2020,"ST190374",145
"367",2020-06-02,"3",6,2020,"ST190375",178
"368",2020-06-02,"4",6,2020,"ST190376",63
"369",2020-06-02,"4",6,2020,"ST190377",63
"370",2020-06-02,"4",6,2020,"ST190378",83
"371",2020-06-02,"4",6,2020,"ST190379",61
"372",2020-06-02,"4",6,2020,"ST190380",94
"373",2020-06-02,"6",6,2020,"ST190386",82
"374",2020-06-02,"6",6,2020,"ST190387",42
"375",2020-06-02,"6",6,2020,"ST190388",100
"376",2020-06-02,"6",6,2020,"ST190389",66
